"filename", "language", "Python", "pip requirements", "Properties", "XML", "Batch", "PowerShell", "JSON", "comment", "blank", "total"
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\.idea\computer-science-nea.iml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\.idea\misc.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\algorithm_display_and_state_reset.py", "Python", 50, 0, 0, 0, 0, 0, 0, 4, 15, 69
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\color_palette.py", "Python", 74, 0, 0, 0, 0, 0, 0, 16, 17, 107
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\coloring.py", "Python", 119, 0, 0, 0, 0, 0, 0, 74, 35, 228
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\controller.py", "Python", 167, 0, 0, 0, 0, 0, 0, 99, 65, 331
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\cube.py", "Python", 268, 0, 0, 0, 0, 0, 0, 143, 85, 496
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\input_assistors.py", "Python", 81, 0, 0, 0, 0, 0, 0, 19, 23, 123
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\main.py", "Python", 21, 0, 0, 0, 0, 0, 0, 10, 14, 45
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\model.py", "Python", 42, 0, 0, 0, 0, 0, 0, 35, 23, 100
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 127, 0, 0, 0, 0, 0, 0, 46, 50, 223
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\_distutils_hack\override.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\__init__.py", "Python", 53, 0, 0, 0, 0, 0, 0, 12, 24, 89
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\assets\themes\blue.json", "JSON", 0, 0, 0, 0, 0, 0, 155, 0, 1, 156
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\assets\themes\dark-blue.json", "JSON", 0, 0, 0, 0, 0, 0, 155, 0, 1, 156
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\assets\themes\green.json", "JSON", 0, 0, 0, 0, 0, 0, 155, 0, 1, 156
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\windows\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\windows\ctk_input_dialog.py", "Python", 94, 0, 0, 0, 0, 0, 0, 4, 20, 118
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\windows\ctk_tk.py", "Python", 223, 0, 0, 0, 0, 0, 0, 37, 74, 334
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\windows\ctk_toplevel.py", "Python", 213, 0, 0, 0, 0, 0, 0, 31, 64, 308
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\windows\widgets\__init__.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\windows\widgets\appearance_mode\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\User\OneDrive\Documents\GitHub\rubiks_cube_app\neavenv\Lib\site-packages\customtkinter\windows\widgets\appearance_mode\appearance_mode_base_class.py", "Python", 37, 0, 0, 0, 0, 0, 0, 15, 10, 62
